"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.k_AccuKid","X1.k_KidAccu","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.k_AccuKid","X2.k_KidAccu","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.k_AccuKid","X3.k_KidAccu","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.k_AccuKid","X4.k_KidAccu","X4.scale","X4.Plasma0"
"3210",2.18113,0.0149984,0.188252,0.0096916,0.000391643,0.00426939,4.32729,50.0626,2.35193,0.0936968,0.238747,0.00206094,0.000493743,0.00480911,4.05985,50.1447,2.04919,0.109363,0.213171,0.000223042,0.000441426,0.00478961,3.84733,49.3196,2.17368,0.0522029,0.221903,0.0058155,0.000416729,0.0046569,4.02346,48.8761
"3211",2.49822,0.0721319,0.242165,0.00396036,0.000480544,0.0045438,3.95212,50.9147,2.59759,0.07735,0.270165,0.00214438,0.000354154,0.00574264,3.41874,50.7719,2.24998,0.0853951,0.230138,0.000796639,0.000369423,0.00599499,3.33514,49.185,2.11813,0.0339889,0.204005,0.00714035,0.000402498,0.00400703,4.26257,50.2732
"3212",1.99269,0.0715195,0.179183,0.00412001,0.000555203,0.00437677,4.29022,48.3402,1.98327,0.0387331,0.178431,0.00683845,0.00044191,0.00516589,3.50579,48.5813,2.46811,0.0142623,0.235188,0.00884616,0.000467076,0.00446239,3.80395,49.6116,2.06768,0.0901804,0.209408,0.00156598,0.00052422,0.00459684,3.96946,48.9481
"3213",1.93887,0.0777462,0.185924,0.00414333,0.000610634,0.00443478,4.27998,51.337,2.10171,0.0649661,0.196102,0.0040525,0.000409603,0.00495528,3.5747,51.7715,2.22527,0.0897264,0.235018,0.00320447,0.000545692,0.00456214,4.24884,51.6862,2.02995,0.0706799,0.202558,0.00456281,0.000413361,0.00406874,4.47192,49.7375
"3214",2.07299,0.091873,0.1965,0.00211352,0.000531471,0.00419302,4.22787,50.0111,2.25204,0.0483457,0.250822,0.00623789,0.00043655,0.00516182,3.85411,48.2453,2.30751,0.0681057,0.216263,0.00514849,0.000526176,0.00462422,4.22343,50.7791,2.14398,0.0554359,0.207923,0.00521445,0.000475736,0.00556903,3.49361,50.9408
"3215",2.06102,0.0662179,0.212342,0.00447301,0.000462021,0.00494695,4.01468,48.7136,2.09166,0.0951108,0.217689,0.000837251,0.000430153,0.00432579,4.10871,49.1891,2.13998,0.0201512,0.205656,0.00851504,0.000363336,0.00476107,3.85453,49.614,2.05483,0.0641201,0.203428,0.00452177,0.000379922,0.0045653,3.98936,49.2843
"3216",2.07473,0.0658072,0.194725,0.0041576,0.000435017,0.00470212,3.7808,49.8169,2.08115,0.0956347,0.213141,0.000709694,0.000430784,0.00446391,4.00321,49.1581,2.42081,0.0575203,0.230216,0.00516329,0.000436326,0.00429579,4.02083,50.6144,2.0513,0.0743277,0.195666,0.00321541,0.000459179,0.00448104,3.91927,49.7047
"3217",2.04762,0.0555949,0.194854,0.00482237,0.000481491,0.00502963,3.62352,50.0285,2.23376,0.0224575,0.198865,0.00877501,0.000524234,0.00475613,3.75069,50.1802,2.18878,0.0357254,0.219459,0.0075189,0.000494514,0.00474867,4.15005,49.9089,2.20195,0.051707,0.198074,0.00543877,0.000404394,0.00449034,3.9139,50.0686
"3218",2.05066,0.0383678,0.188719,0.00735247,0.00044291,0.00437297,4.08517,49.5783,2.20525,0.0760655,0.214711,0.00259808,0.000408318,0.00454509,3.88556,48.5223,2.21066,0.041496,0.220417,0.0075801,0.00058752,0.00514223,4.15755,50.2386,2.2391,0.0201119,0.213974,0.00866893,0.000549821,0.00472739,3.84657,50.0453
"3219",2.2581,0.0899486,0.236459,0.00173139,0.000495995,0.00507529,3.95189,49.6922,2.17033,0.0521102,0.229586,0.0054189,0.000499603,0.00469144,4.19556,49.133,2.28524,0.0339698,0.209847,0.00726078,0.000514851,0.0044954,3.81401,50.6362,2.07044,0.0391615,0.196636,0.00651163,0.000427214,0.00451349,3.88222,50.2848
"3220",2.35863,0.0695969,0.24596,0.00386625,0.000493685,0.00514872,3.85922,49.383,2.42322,0.054379,0.221652,0.00481504,0.000458033,0.00454881,3.81011,49.5177,2.23772,0.0533603,0.222823,0.00507886,0.000428273,0.00487187,3.94847,49.841,2.08383,0.0635942,0.210262,0.00437871,0.00049684,0.00475147,4.23349,48.2368
"3221",2.30404,0.0725149,0.243022,0.00367357,0.000416578,0.00504246,4.00222,49.0759,2.46009,0.0620804,0.228024,0.00444331,0.000475972,0.00491784,3.77298,48.9359,2.16964,0.0961457,0.217169,0.00173201,0.000527313,0.00472768,3.95113,50.5139,1.99458,0.0783365,0.181054,0.00323785,0.000370614,0.00387184,4.18881,50.5948
"3222",2.47314,0.0933405,0.252455,0.00254301,0.000498777,0.00459092,4.41205,50.8803,2.29117,0.0458898,0.232765,0.00615718,0.00041265,0.0048743,3.61859,49.116,2.24075,0.0950174,0.21149,0.00206404,0.000440118,0.00479017,3.8397,52.8614,2.24334,0.0479711,0.233349,0.00549206,0.000354918,0.0072643,2.94363,49.344
"3223",2.50155,0.0326427,0.232867,0.0077279,0.000526324,0.00518041,3.79084,50.5323,2.25203,0.0406457,0.215285,0.00796887,0.000530931,0.00495993,4.13616,50.3785,2.24667,0.105782,0.202313,0.00121164,0.000473579,0.0044237,3.80361,52.13,2.19647,0.0523739,0.214448,0.0039203,0.000326707,0.00539325,3.13913,48.8452
"3224",2.03606,0.0785264,0.196399,0.00383363,0.000392176,0.00435104,4.13253,49.7339,2.12137,0.0734357,0.179639,0.00333395,0.000471104,0.00433833,3.97553,49.3644,2.32481,0.0088652,0.237021,0.0100675,0.000418182,0.00515371,3.97841,48.0469,2.02214,0.034432,0.199909,0.00767285,0.000492358,0.00541669,3.74348,49.2942
"3225",1.99776,0.0514241,0.179131,0.00561018,0.00059841,0.00455441,4.07067,50.2694,2.01827,0.0296521,0.190834,0.00733132,0.000466202,0.00493107,3.62578,51.0284,2.2754,0.00860991,0.236644,0.0104848,0.000424258,0.00530638,3.98071,48.3236,1.99617,0.0416332,0.158581,0.00638968,0.000366864,0.00443154,3.50225,49.8541
"3226",2.00906,0.046292,0.175253,0.0058683,0.000587205,0.00450415,4.01594,50.4844,2.17768,0.0832236,0.227194,0.00228222,0.000359464,0.00531867,3.5797,49.9961,2.25614,0.0278437,0.217383,0.00786035,0.000587185,0.00476611,3.90064,49.1955,2.45905,0.108429,0.271829,0.00079683,0.000578063,0.00504427,4.25561,50.1013
"3227",2.21289,0.0651892,0.209559,0.00423211,0.000434623,0.00417362,4.13458,51.0588,2.14448,0.0673738,0.214097,0.00379148,0.000393873,0.00536985,3.52977,50.0975,2.28507,0.0223912,0.207162,0.00919709,0.000605192,0.00474668,4.03081,49.1367,2.42397,0.0988977,0.247939,0.00122995,0.000474006,0.00445212,4.1837,50.5737
"3228",2.02405,0.102233,0.197553,0.000730146,0.000381333,0.00461577,3.87301,50.2504,2.22285,0.0632341,0.208373,0.00472884,0.00059445,0.00461305,4.20209,50.0643,2.19837,0.109004,0.205082,0.00049144,0.000408711,0.00433869,3.91557,50.6747,2.24479,0.105409,0.240936,0.000360156,0.00048262,0.00420555,4.2906,50.3489
"3229",2.08547,0.103807,0.21091,0.00126469,0.000428422,0.00462232,4.10445,50.4538,2.13995,0.0476475,0.192701,0.00499421,0.000362241,0.00479539,3.46741,49.4604,2.07714,0.0417197,0.19934,0.00696476,0.000549899,0.00482661,3.9262,48.9338,2.18692,0.0153142,0.182892,0.0086951,0.000453884,0.00487155,3.6273,50.1072
"3230",2.07301,0.106949,0.201929,0.000581905,0.000571188,0.00462114,4.09823,49.399,2.22048,0.0914438,0.23417,0.00266517,0.000446053,0.00483664,4.2374,50.5856,2.05819,0.0541468,0.203855,0.00633465,0.000636697,0.00453492,4.45237,49.3272,2.28483,0.0387492,0.21745,0.00744875,0.000546259,0.00413932,4.33724,49.6924
"3231",1.99933,0.0810299,0.191379,0.00331257,0.000567935,0.00457951,4.14127,50.3881,2.21552,0.104487,0.200764,0.00079624,0.000522053,0.004836,3.61899,51.2998,2.04004,0.0913465,0.201234,0.00134834,0.000426186,0.00455211,3.957,49.047,1.98637,0.0879515,0.186557,0.00249959,0.000468586,0.00469937,3.8337,50.1612
"3232",2.36016,0.0566198,0.231669,0.00502725,0.000441608,0.00475889,3.90367,48.4943,2.02542,0.0335185,0.197531,0.00825447,0.000454493,0.00467933,4.02877,50.5532,2.024,0.113036,0.204434,0.000357148,0.000447558,0.0045591,4.10578,50.4187,1.97625,0.0878052,0.179777,0.00212605,0.000504879,0.00480963,3.74624,50.1245
"3233",2.3693,0.0550757,0.231868,0.00471216,0.000439012,0.0047674,3.87939,48.4512,2.17098,0.0164081,0.185409,0.00859338,0.000449506,0.00402923,4.04797,50.2484,2.24028,0.11165,0.214718,0.000766251,0.000574343,0.00419629,4.48064,50.2965,2.40415,0.0251313,0.252962,0.00860389,0.000441885,0.00465164,4.16149,49.6061
"3234",2.1463,0.0538471,0.20906,0.00636461,0.000493732,0.00438429,4.21333,50.6849,2.04002,0.1057,0.190853,0.000464644,0.000448577,0.00470423,3.78225,49.1217,2.19802,0.0156767,0.210719,0.00822969,0.000362583,0.00543965,3.47005,48.3411,2.42962,0.0248166,0.256508,0.00851822,0.000433803,0.00468916,4.17502,49.4594
