"","k_kidDD","d_DD","maxdeath","hillDD","k_hillnec","d_CD","k_CDINF","d_INF","k_INFKF","hillKF","h1","INF0"
"3817",0.164966,0.0666823,12.5991,40.672,4.11766,0.00926769,0.252695,0.012733,0.0233735,10.339,7.6584,0.000319015
"3818",0.276604,0.105356,12.4751,37.6421,4.4514,0.00242233,0.346959,0.0184467,0.0577265,13.113,8.96177,0.000233876
"3819",0.376517,0.136166,12.2741,45.9544,4.39483,0.00284602,0.324732,0.0132711,0.0892876,15.969,9.31337,0.000197762
"3820",0.184515,0.0675216,13.5669,35.4047,4.24619,0.0053133,0.222346,0.0104262,0.0598275,14.2079,9.49343,0.00095173
"3821",0.176214,0.0609265,12.9867,33.6257,4.31683,0.0052499,0.167602,0.0111323,0.0895595,14.6972,9.62307,0.000490202
"3822",0.138007,0.0464176,12.955,47.8233,4.37662,0.00718511,0.230659,0.0102221,0.031752,11.6474,8.57443,0.000622728
"3823",0.212036,0.0772786,13.3146,31.6598,4.85838,0.00537676,0.294466,0.0129362,0.0202874,10.2911,8.48982,0.000403292
"3824",0.161317,0.0579873,12.8978,39.6883,4.23613,0.00746084,0.304269,0.013842,0.045136,14.6261,8.67273,0.000697328
"3825",0.1231,0.0377461,13.4256,45.5342,4.31307,0.0097789,0.133375,0.00887411,0.0321493,11.1364,9.17973,0.00054494
"3826",0.116909,0.0356414,13.5674,44.5584,4.33751,0.0103634,0.138637,0.00815323,0.035833,10.2656,9.32141,0.000759207
"3827",0.210084,0.0894078,12.3411,37.3012,4.15021,0.00475832,0.359035,0.0171498,0.0727887,13.605,8.10865,0.000198145
"3828",0.21663,0.0695152,12.1237,43.8453,4.70815,0.00670068,0.170402,0.00766195,0.0507059,11.6189,8.90643,0.00014918
"3829",0.130154,0.0476543,13.45,40.567,4.08092,0.0106392,0.153267,0.006718,0.080477,14.7235,8.60959,0.00112301
"3830",0.279328,0.0983448,12.5136,42.1163,4.54607,0.00261039,0.410457,0.023021,0.0379915,13.1154,9.02776,5.54923e-05
"3831",0.233607,0.0934965,12.6002,40.3679,4.29402,0.00416385,0.267391,0.0107247,0.019304,9.83591,8.58645,3.8705e-06
