"","k_cDD","degDD","hillDD","k_inter","maxdeath","k_hillnec","p","h"
"8278",0.249616,0.0390083,0.00455325,0.0480173,0.724543,5.07654,0.931467,22.3105
"8279",0.292499,0.0512102,0.00290083,0.0418601,1.76681,5.14241,0.715534,29.8258
"8280",0.291316,0.0509246,0.00285058,0.0430978,1.5858,5.13493,0.719014,29.8795
"8281",0.263894,0.0440676,0.00304094,0.0606998,0.895839,5.11384,0.940598,28.6404
"8282",0.254683,0.0406033,0.00329761,0.070023,1.04042,5.13482,0.861435,28.7811
"8283",0.260495,0.0427081,0.00368763,0.0412204,0.965795,5.10526,0.767969,24.6502
"8284",0.254802,0.0411565,0.00394436,0.0524312,0.757186,4.98155,0.844913,26.5031
"8285",0.265267,0.0400566,0.00406547,0.0506778,0.885387,5.41304,0.882005,23.4161
"8286",0.230792,0.0355907,0.00427873,0.0601459,1.16912,5.03547,0.719682,23.2039
"8287",0.272278,0.0427414,0.0039388,0.0526766,0.908071,5.26705,0.869985,25.188
"8288",0.28711,0.0489437,0.00325465,0.0341816,1.0093,5.07801,0.706298,27.2214
"8289",0.272519,0.045411,0.00357664,0.0429669,1.08098,5.06939,0.72809,26.8249
"8290",0.260243,0.0416603,0.00355939,0.0576404,0.968303,5.11327,0.727813,27.4381
"8291",0.281209,0.0460951,0.00391422,0.0397399,1.09024,5.13562,0.737223,25.2205
"8292",0.261601,0.0444634,0.00320517,0.0500478,0.902484,4.98705,0.796313,28.3814
"8293",0.283873,0.0485839,0.00324007,0.0368781,0.618191,4.96712,0.717239,27.4048
"8294",0.276874,0.0482903,0.0032697,0.0359447,0.855233,4.91596,0.750074,28.037
"8295",0.287387,0.0508584,0.00300725,0.0391337,0.727772,4.97904,0.840722,27.8452
"8296",0.286742,0.049323,0.00368311,0.0383805,0.645277,4.90921,0.762635,26.2313
"8297",0.25167,0.0369237,0.00407919,0.0708046,1.16851,5.25529,0.711263,26.1933
"8298",0.239288,0.0356405,0.00393286,0.0690215,1.18837,5.217,0.755384,25.1217
"8299",0.271674,0.0459086,0.00347356,0.0438347,0.902692,5.06146,0.835583,26.3074
"8300",0.277361,0.046157,0.00301688,0.0547983,1.35346,5.24872,0.802728,29.3987
"8301",0.27498,0.0410007,0.00366892,0.0582623,0.946583,5.47634,0.742619,26.0039
"8302",0.251283,0.0390069,0.00318688,0.0765111,0.802539,5.18778,0.88633,28.2561
"8303",0.245419,0.0383829,0.00337148,0.0661472,1.17593,5.14817,0.715176,27.7744
"8304",0.254792,0.0408366,0.00366212,0.0568549,0.787607,5.05977,0.811965,26.299
"8305",0.259078,0.041891,0.00371499,0.0525081,0.758074,5.04971,0.808933,26.4592
"8306",0.254048,0.0413251,0.00276794,0.0739129,0.946861,5.06879,0.765683,31.9854
"8307",0.291769,0.0510359,0.00332827,0.0366784,1.41898,5.08123,0.754751,26.4781
"8308",0.288549,0.0502071,0.00351313,0.0347663,1.00918,5.02066,0.765558,24.8687
"8309",0.293089,0.0475265,0.00408289,0.0335723,0.785201,5.1804,0.724523,22.5811
"8310",0.272028,0.0467715,0.00375358,0.0372168,0.810272,5.01125,0.905034,23.3487
"8311",0.280984,0.044632,0.00385848,0.0454577,1.50105,5.40568,0.837293,24.5972
"8312",0.246849,0.0389444,0.00349761,0.0584891,1.29804,5.24599,0.915072,26.4028
"8313",0.265326,0.0423414,0.00389775,0.0486492,0.730393,5.144,0.860044,24.8507
"8314",0.257809,0.0435018,0.0031549,0.0561937,0.913396,4.96068,0.738167,29.0433
"8315",0.257551,0.039048,0.00497681,0.04216,1.13738,5.2663,0.842187,21.233
"8316",0.255519,0.0388929,0.00496221,0.0432893,1.5449,5.35762,0.887265,20.5813
"8317",0.263674,0.0385819,0.00395294,0.0587047,1.05596,5.42832,0.74353,26.139
"8318",0.255501,0.0384573,0.00335197,0.0690045,1.15509,5.38928,0.761751,26.7133
"8319",0.254652,0.0438285,0.00292975,0.0562603,1.00008,4.97727,0.82998,29.2025
"8320",0.267622,0.0418773,0.00334415,0.0603503,1.21926,5.30195,0.760138,28.7968
"8321",0.273402,0.0468916,0.00285082,0.0497996,1.50761,5.16259,0.792053,29.2887
"8322",0.293778,0.0499489,0.00308991,0.0463281,1.04135,5.17853,0.858455,29.3564
"8323",0.303785,0.0510588,0.00347641,0.0293608,0.774504,5.15044,0.747878,24.2285
"8324",0.288479,0.0492226,0.00304541,0.0453994,0.912051,5.0333,0.770246,32.3607
"8325",0.266439,0.0476829,0.00266524,0.0454851,0.803354,4.9241,0.842741,29.6399
"8326",0.295202,0.0497628,0.00395319,0.0292299,1.24293,5.06088,0.729515,24.4776
"8327",0.300741,0.0502889,0.00363577,0.0301664,1.14016,5.21396,0.759902,24.1298
"8328",0.305874,0.0567373,0.00271339,0.0289398,0.784953,4.81552,0.736646,30.2902
"8329",0.2765,0.046631,0.00306418,0.0504424,0.613112,4.97576,0.723106,30.6255
"8330",0.236153,0.036789,0.00290518,0.0849079,1.17224,5.1721,0.872297,29.0626
"8331",0.248293,0.0379338,0.00428079,0.0539876,1.0834,5.18098,0.743839,23.6437
"8332",0.235024,0.0339618,0.00410669,0.0729888,1.15931,5.22412,0.714544,24.68
"8333",0.237486,0.0348653,0.00394077,0.0726503,1.02937,5.17369,0.70734,25.5723
"8334",0.265556,0.0438072,0.0034946,0.0531961,1.32647,5.19202,0.892935,26.7075
"8335",0.25819,0.0424837,0.00348488,0.0554833,1.26598,5.16206,0.891812,26.3589
"8336",0.271181,0.0467646,0.00292416,0.0514598,0.791269,4.98797,0.808861,30.3949
"8337",0.28154,0.0500246,0.00296809,0.0389202,0.889105,4.93639,0.801498,29.0949
"8338",0.280091,0.0507903,0.00328563,0.0354055,0.903516,4.77859,0.766054,28.2151
"8339",0.287076,0.0444203,0.00392037,0.0469282,0.828771,5.31762,0.754037,25.9958
"8340",0.24869,0.0411886,0.00403744,0.047683,1.09986,5.03232,0.941688,23.6491
"8341",0.250341,0.037754,0.00386075,0.0625003,0.392644,5.01412,0.700298,26.136
"8342",0.251878,0.0399813,0.00389403,0.0510373,0.319216,4.83986,0.700308,25.713
"8343",0.255065,0.0409077,0.00370525,0.0509138,0.303059,4.87105,0.700542,25.3438
"8344",0.273033,0.0441516,0.00428612,0.0402665,0.351799,4.80395,0.703276,25.4656
"8345",0.249883,0.0409833,0.00302604,0.069058,0.221748,4.84802,0.986948,28.1956
"8346",0.251027,0.0407579,0.00333303,0.05846,0.610453,4.946,0.706856,28.4297
"8347",0.25166,0.0405022,0.00346488,0.0588308,1.08111,5.08843,0.740001,27.5432
"8348",0.252032,0.0394369,0.00362788,0.0558284,1.18582,5.19988,0.728491,26.5916
"8349",0.258913,0.0409883,0.00319973,0.0646855,1.17654,5.23192,0.711523,27.996
"8350",0.273107,0.0474742,0.00298333,0.0484702,1.11958,5.09578,0.972829,28.3378
"8351",0.270881,0.0456086,0.0033381,0.0403515,0.822377,5.02657,0.781639,27.5411
"8352",0.275696,0.0480831,0.00301345,0.0467904,0.840511,5.028,0.83497,27.6301
