"","mean","sd","rhat"
"sol4[16,5]",1.1906563964375,0.144585956802258,1.00060154222333
"sol4[17,5]",1.188453189125,0.140348508499978,1.00060676464534
"sol4[18,5]",1.1836415658125,0.135904530524001,1.00061194367172
"sol4[19,5]",1.1495285715,0.11948957942355,1.00064918155366
"sol4[20,5]",1.1360110970625,0.114874852164871,1.00066428452337
"sol4[21,5]",1.131203764625,0.113356890451626,1.00066980147052
"sol4[22,5]",1.121180054875,0.110360687631646,1.00067861292143
"sol4[23,5]",1.105224002,0.105985655436698,1.00069587439334
"sol4[24,5]",1.0883176284375,0.101783052415758,1.00071663753831
"sol4[25,5]",1.0706219141875,0.0977806581148467,1.00073940828446
"sol4[26,5]",1.052284390125,0.0940012712410136,1.00075838232461
"sol4[27,5]",1.033440040375,0.0904623583106687,1.00077990922027
"sol4[28,5]",1.0142116875,0.0871763798799166,1.00080169026786
"sol4[29,5]",0.994710426125,0.084150734489654,1.00081867107406
"sol4[30,5]",0.9750364335625,0.0813881449758916,1.00082987036137
"sol4[31,5]",0.9552795703125,0.0788867110684549,1.00084456550208
"sol4[32,5]",0.9355201701875,0.0766404536999198,1.00085170695079
"sol4[33,5]",0.9158296323125,0.0746396108667929,1.00086259735616
"sol4[34,5]",0.8962709563125,0.0728712960090488,1.00086851513967
"sol4[35,5]",0.8326858303125,0.068443670368467,1.00087703636512
"sol4[1,6]",3.72109215732884e-38,1.98602559583438e-36,1.0010186269634
"sol4[2,6]",1.64955928663394e-28,6.49664979146961e-27,1.00100150845429
"sol4[3,6]",9.28694690421203e-21,1.88569944278603e-19,1.00094960864673
"sol4[4,6]",1.95231636898327e-18,2.41638854390398e-17,1.00092482320313
"sol4[5,6]",5.6986907668202e-18,6.19815139325424e-17,1.00091992012364
"sol4[6,6]",1.26612215136789e-17,1.23963448112031e-16,1.00091424385957
"sol4[7,6]",1.41767094214137e-17,1.36655211279126e-16,1.00091387686534
"sol4[8,6]",3.06860499470689e-17,2.64555621091587e-16,1.00090942626113
"sol4[9,6]",5.88289899573859e-17,4.57942974033418e-16,1.00090411989172
"sol4[10,6]",1.01453041938056e-16,7.20002239495615e-16,1.00090078128941
"sol4[11,6]",1.59559740431027e-16,1.04250082740945e-15,1.0008978292591
"sol4[12,6]",2.31684915681021e-16,1.40718865787782e-15,1.00089484512012
"sol4[13,6]",3.14045138207909e-16,1.79015672770547e-15,1.00089154611638
"sol4[14,6]",4.0137596102068e-16,2.16719064611255e-15,1.00088809862299
"sol4[15,6]",4.88096060177567e-16,2.518172702943e-15,1.00088412040218
"sol4[16,6]",5.69367413810594e-16,2.82946601386565e-15,1.00088084909959
"sol4[17,6]",6.41761310736131e-16,3.09427854487758e-15,1.00087882301127
"sol4[18,6]",7.03454169222994e-16,3.3116037955415e-15,1.00087685816621
"sol4[19,6]",8.38482147602906e-16,3.76294461467788e-15,1.00086789904406
"sol4[20,6]",8.58391932207806e-16,3.82669895820311e-15,1.00086709003717
"sol4[21,6]",8.637760561677e-16,3.8437988014908e-15,1.00086750417626
"sol4[22,6]",8.72968986920231e-16,3.87283527757009e-15,1.00086621287246
"sol4[23,6]",8.83487089703388e-16,3.90577819480705e-15,1.00086630214337
"sol4[24,6]",8.9098747565425e-16,3.92902731341188e-15,1.00086686883868
"sol4[25,6]",8.96286412025219e-16,3.94527918871288e-15,1.00086623888534
"sol4[26,6]",9.00003400393031e-16,3.95655379699283e-15,1.00086760137612
"sol4[27,6]",9.02596700998837e-16,3.96431824924273e-15,1.00086883169201
"sol4[28,6]",9.04399457826606e-16,3.96964463157811e-15,1.00087021260377
"sol4[29,6]",9.05649577405712e-16,3.97327710203554e-15,1.00087093227851
"sol4[30,6]",9.06515653058969e-16,3.97575373531661e-15,1.00087208833122
"sol4[31,6]",9.07115666690094e-16,3.97743716642668e-15,1.00087322148883
"sol4[32,6]",9.07531650282781e-16,3.97857634581194e-15,1.0008739244752
"sol4[33,6]",9.07820617258806e-16,3.97935206450976e-15,1.00087445393415
"sol4[34,6]",9.08021789583188e-16,3.97987841960664e-15,1.00087503130048
"sol4[35,6]",9.08348383807737e-16,3.98068579685652e-15,1.0008764098805
"sol5[1,1]",0.949601,0,NA
"sol5[2,1]",0.580005,0,NA
"sol5[3,1]",0.188961,0,NA
"sol5[4,1]",0.0685993,0,NA
"sol5[5,1]",0.0449556,0,NA
"sol5[6,1]",0.0274242,0,NA
"sol5[7,1]",0.0249465,0,NA
"sol5[8,1]",0.00802012,0,NA
"sol5[9,1]",-0.00629066,0,NA
"sol5[10,1]",-0.0183829,0,NA
"sol5[11,1]",-0.0285945,0,NA
"sol5[12,1]",-0.0372117,0,NA
"sol5[13,1]",-0.0444762,0,NA
"sol5[14,1]",-0.0505925,0,NA
"sol5[15,1]",-0.0557354,0,NA
"sol5[16,1]",-0.0600538,0,NA
"sol5[17,1]",-0.0636732,0,NA
"sol5[18,1]",-0.0666992,0,NA
