"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T360_360_0","rKIDNEY_147",-1.989949911578,14,14,100
"upload_R1CPTC0T360_360_0","rKIDNEY_156",-1.8208987544178,14,14,100
"upload_R1CPTC0T360_360_0","rKIDNEY_164",-2.23097248146418,13,13,100
"upload_R1CPTC0T360_360_0","rKIDNEY_168",-1.91749525361331,13,13,100
"upload_R1CPTC0T360_360_0","rKIDNEY_178",-0.360175781988236,13,13,100
"upload_R1CPTC0T360_360_0","rKIDNEY_182",0.602222447582684,13,13,100
"upload_R1CPTC0T360_360_0","rKIDNEY_184",-2.75203695909034,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_187",-2.14399760219282,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_193",-3.83919248380398,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_196",-0.998611749444798,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_197",-0.956092376799415,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_198",-0.0665974181185577,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_201",-3.72488850065946,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_202",0.426621954937878,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_205",-2.23449656079413,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_206",-4.75178816240833,12,12,100
"upload_R1CPTC0T360_360_0","rKIDNEY_211",-0.544964938213936,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_214",0.459964032218192,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_217",-3.13809588365124,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_218",0.368373696710011,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_220",-3.63981257300515,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_221",-2.41919514322088,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_224",-0.321287665995599,11,11,100
"upload_R1CPTC0T360_360_0","rKIDNEY_235",-2.88578930826376,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_240",1.07498058112647,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_241",-2.28696858964986,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_244",-1.72591169374141,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_257",0.851788190343408,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_260",-3.41149148958318,10,10,100
"upload_R1CPTC0T360_360_0","rKIDNEY_265",-0.732579684676837,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_266",-0.613244329425191,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_278",-1.07096259752685,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_279",-0.348939415380344,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_283",-0.00303779952315992,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_284",-0.637273866302529,9,9,100
"upload_R1CPTC0T360_360_0","rKIDNEY_289",-0.521181492290732,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_290",-3.26814836373999,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_292",-1.31009145690619,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_295",-0.284225626025627,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_297",-2.45225162768775,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_300",-2.27341919832682,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_302",-1.81829920960605,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_304",-1.67804251311139,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_305",0.113745543615238,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_312",0.901000267219586,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_316",-6.66927786242891,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_317",-0.358820303347286,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_319",-2.47697128334863,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_320",0.297038560343038,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_321",0.358069583302334,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_323",0.907821041922065,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_324",1.52630269828308,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_325",-1.35226534174895,8,8,100
"upload_R1CPTC0T360_360_0","rKIDNEY_327",-0.595310115969439,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_330",0.891338357586264,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_332",-1.46229392695132,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_334",-1.31642915969063,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_336",-2.68123173378877,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_337",-1.46072244608594,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_338",0.104158365762471,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_340",-3.8014599556971,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_341",0.694682766910667,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_342",-0.665213401424805,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_347",-1.04026241844552,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_348",-0.903125698369599,7,7,100
"upload_R1CPTC0T360_360_0","rKIDNEY_352",-1.34198129008926,6,6,100
